league,season,game,team,player,jersey_number,nation,pos,age,min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,game_id
ENG-Premier League,2526,2025-08-18 Leeds United-Everton,Leeds United,Anton Stach,18,GER,LM,26-276,90,0,0,0,0,4,1,0,0,83,2,1,2,0.3,0.3,0.4,10,1,51,65,78.5,12,31,4,4,1,7.01E+220
ENG-Premier League,2526,2025-08-23 Arsenal-Leeds United,Leeds United,Anton Stach,18,GER,LM,26-281,90,0,0,0,0,0,0,0,0,33,2,0,0,0,0,0.2,3,0,22,28,78.6,2,17,2,1,0,e8724659
ENG-Premier League,2526,2025-08-30 Leeds United-Newcastle Utd,Leeds United,Anton Stach,18,GER,LM,26-288,90,0,0,0,0,3,0,0,0,42,2,1,1,0.2,0.2,0.1,4,0,21,31,67.7,5,13,1,0,0,bc110e0b
ENG-Premier League,2526,2025-09-13 Fulham-Leeds United,Leeds United,Anton Stach,18,GER,LM,26-302,90,0,0,0,0,3,0,1,0,49,1,0,0,0.1,0.1,0.1,3,0,27,39,69.2,4,20,1,3,1,ab8543fb
ENG-Premier League,2526,2025-09-20 Wolves-Leeds United,Leeds United,Anton Stach,18,GER,"RM,CM",26-309,90,1,1,0,0,1,1,0,0,58,3,1,1,0.1,0.1,0.1,2,2,32,45,71.1,7,31,3,2,0,45650a33
ENG-Premier League,2526,2025-08-18 Leeds United-Everton,Leeds United,Ao Tanaka,22,JPN,RM,26-342,89,0,0,0,0,2,0,0,0,54,0,1,1,0.1,0.1,0.1,5,0,42,48,87.5,6,30,1,2,0,7.01E+220
ENG-Premier League,2526,2025-08-23 Arsenal-Leeds United,Leeds United,Ao Tanaka,22,JPN,RM,26-347,57,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,0,19,24,79.2,0,20,0,0,0,e8724659
ENG-Premier League,2526,2025-09-20 Wolves-Leeds United,Leeds United,Ao Tanaka,22,JPN,"CM,RW",27-010,8,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,45650a33
ENG-Premier League,2526,2025-09-27 Leeds United-Bournemouth,Leeds United,Ao Tanaka,22,JPN,RW,27-017,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,d2fc69e6
ENG-Premier League,2526,2025-10-04 Leeds United-Tottenham,Leeds United,Ao Tanaka,22,JPN,"CM,LM",27-024,24,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,1,0,27,30,90,4,14,0,0,0,3e588df8
ENG-Premier League,2526,2025-08-18 Leeds United-Everton,Leeds United,Brenden Aaronson,11,USA,LW,24-300,24,0,0,0,0,0,0,0,0,12,2,0,1,0,0,0.2,3,0,7,7,100,0,5,0,0,0,7.01E+220
ENG-Premier League,2526,2025-08-23 Arsenal-Leeds United,Leeds United,Brenden Aaronson,11,USA,RW,24-305,25,0,0,0,0,0,0,0,0,13,1,0,2,0,0,0,0,0,5,9,55.6,1,8,2,1,1,e8724659
ENG-Premier League,2526,2025-08-30 Leeds United-Newcastle Utd,Leeds United,Brenden Aaronson,11,USA,RW,24-312,31,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,6,8,75,1,4,0,2,2,bc110e0b
ENG-Premier League,2526,2025-09-13 Fulham-Leeds United,Leeds United,Brenden Aaronson,11,USA,RW,24-326,76,0,0,0,0,1,1,0,0,41,5,0,2,0.1,0.1,0.3,1,0,14,19,73.7,0,19,0,3,1,ab8543fb
